state,year,beds_index
Alabama,2010,3.2
Alaska ,2010,2.2
Arizona ,2010,2
Arkansas ,2010,3.2
California ,2010,1.9
Colorado ,2010,2
Connecticut,2010,2.3
Delaware ,2010,2.4
District of Columbia ,2010,5.7
Florida ,2010,2.9
Georgia ,2010,2.6
Hawaii ,2010,2.4
Idaho,2010,2.2
Illinois ,2010,2.6
Indiana,2010,2.8
Iowa ,2010,3.3
Kansas ,2010,3.5
Kentucky ,2010,3.3
Louisiana ,2010,3.4
Maine ,2010,2.7
Maryland ,2010,2
Massachusetts ,2010,2.4
Michigan ,2010,2.6
Minnesota,2010,2.9
Mississippi ,2010,4.4
Missouri ,2010,3.1
Montana,2010,3.8
Nebraska ,2010,4
Nevada ,2010,2
New Hampshire ,2010,2.2
New Jersey ,2010,2.4
New Mexico ,2010,2
New York ,2010,3
North Carolina ,2010,2.4
North Dakota ,2010,5.1
Ohio ,2010,3
Oklahoma ,2010,3
Oregon ,2010,1.7
Pennsylvania ,2010,3.2
Rhode Island ,2010,2.3
South Carolina ,2010,2.7
South Dakota,2010,5
Tennessee ,2010,3.3
Texas ,2010,2.4
Utah ,2010,1.8
Vermont ,2010,2.1
Virginia ,2010,2.2
Washington,2010,1.7
West Virginia ,2010,4
Wisconsin,2010,2.4
Wyoming ,2010,3.6
Alabama,2014,3.1
Alaska ,2014,2.2
Arizona ,2014,2
Arkansas ,2014,3.1
California ,2014,1.8
Colorado ,2014,2
Connecticut,2014,2.2
Delaware ,2014,2.2
District of Columbia ,2014,5.4
Florida ,2014,2.7
Georgia ,2014,2.4
Hawaii ,2014,2
Idaho,2014,2
Illinois ,2014,2.5
Indiana,2014,2.6
Iowa ,2014,3.1
Kansas ,2014,3.5
Kentucky ,2014,3.2
Louisiana ,2014,3.2
Maine ,2014,2.5
Maryland ,2014,2
Massachusetts ,2014,2.4
Michigan ,2014,2.5
Minnesota,2014,2.7
Mississippi ,2014,4.2
Missouri ,2014,3.1
Montana,2014,3.6
Nebraska ,2014,3.5
Nevada ,2014,2
New Hampshire ,2014,2.1
New Jersey ,2014,2.3
New Mexico ,2014,1.8
New York ,2014,2.8
North Carolina ,2014,2.2
North Dakota ,2014,4.3
Ohio ,2014,2.9
Oklahoma ,2014,2.9
Oregon ,2014,1.7
Pennsylvania ,2014,3
Rhode Island ,2014,2.1
South Carolina ,2014,2.5
South Dakota,2014,4.8
Tennessee ,2014,3.1
Texas ,2014,2.3
Utah ,2014,1.8
Vermont ,2014,1.9
Virginia ,2014,2.2
Washington,2014,1.7
West Virginia ,2014,3.7
Wisconsin,2014,2.2
Wyoming ,2014,3.1
